type,name,lon,lat
metro_ligero,1 ALVAREZ DE VILLAAMIL,-3.651366911389661,40.48904073160042
metro_ligero,1 ANTONIO SAURA,-3.653538626506948,40.4854519186063
metro_ligero,1 BLASCO IBA�EZ,-3.6558486649127078,40.49367300821871
metro_ligero,1 FUENTE DE LA MORA,-3.663254681489714,40.48481098673565
metro_ligero,1 LAS TABLAS,-3.6693278684611927,40.508235228058716
metro_ligero,1 MARIA TUDOR,-3.6588918858962236,40.49716017352717
metro_ligero,1 PALAS DE REY,-3.6650747017548797,40.50543098507407
metro_ligero,1 PINAR DE CHAMARTIN,-3.666842435854076,40.480132713295056
metro_ligero,1 VIRGEN DEL CORTIJO,-3.66099048556045,40.48733745493073
metro_ligero,2 AVENIDA DE EUROPA,-3.793061094805115,40.439299781486184
metro_ligero,2 BELGICA,-3.8075538119135475,40.43057785377248
metro_ligero,2 BERNA,-3.7912043997749207,40.44486203258249
metro_ligero,2 CAMPUS DE SOMOSAGUAS,-3.7952551244314376,40.433374816567124
metro_ligero,2 COLONIA DE LOS ANGELES,-3.784411002095281,40.40720565862605
metro_ligero,2 COLONIA JARDIN,-3.7745708857748794,40.39697466372766
metro_ligero,2 DOS CASTILLAS,-3.8016233717957095,40.43252903351356
metro_ligero,2 ESTACION DE ARAVACA,-3.7859147893138942,40.44832152478541
metro_ligero,2 POZUELO OESTE,-3.80448162240161,40.423067755001526
metro_ligero,2 PRADO DE LA VEGA,-3.7812192922444003,40.402290316776224
metro_ligero,2 PRADO DEL REY,-3.7874895769878942,40.41046401739344
metro_ligero,2 SOMOSAGUAS CENTRO,-3.798744151603397,40.41935979143648
metro_ligero,2 SOMOSAGUAS SUR,-3.7925323903258628,40.41535749377666
metro_ligero,3 BOADILLA CENTRO,-3.880047183721374,40.4071298858456
metro_ligero,3 CANTABRIA,-3.8643981079696768,40.39528397548309
metro_ligero,3 CIUDAD DE LA IMAGEN,-3.78399891339169,40.39708229442025
metro_ligero,3 CIUDAD DEL CINE,-3.7955757686710463,40.39454375022683
metro_ligero,3 COCHERAS,-3.803863391333755,40.39687382679988
metro_ligero,3 COLONIA JARDIN,-3.7745119729166814,40.39697505836004
metro_ligero,3 FERIAL DE BOADILLA,-3.8793905680938137,40.40195470715404
metro_ligero,3 INFANTE DON LUIS,-3.8974145684171693,40.40594233589471
metro_ligero,3 JOSE ISBERT,-3.789939933291739,40.39524905930861
metro_ligero,3 MONTEPRINCIPE,-3.835809414385745,40.397917591051836
metro_ligero,3 NUEVO MUNDO,-3.8857669856641905,40.405635759413904
metro_ligero,3 PRADO DEL ESPINO,-3.8477451022295583,40.39501087255144
metro_ligero,3 PUERTA DE BOADILLA,-3.903791073855019,40.40776653612062
metro_ligero,3 RETAMARES,-3.8167531164343904,40.39871142954957
metro_ligero,3 SIGLO XXI,-3.892642616855901,40.40512342196911
metro_ligero,3 VENTORRO DEL CANO,-3.8381200141598604,40.39419815503486
metro_ligero,4 AVENIDA SISTEMA SOLAR,-3.760719739723439,40.22342354045206
metro_ligero,4 BULEVAR SUR,-3.7723663932636486,40.23472516188556
metro_ligero,4 ESTRELLA POLAR SUR,-3.7538307985464425,40.230712104816654
metro_ligero,4 IGLESIA CENTRO,-3.770589811850007,40.23770106345491
metro_ligero,4 ISABEL II,-3.765084708202635,40.231133769169446
metro_ligero,4 JAIME I SUR,-3.75240554481378,40.23469448462424
metro_ligero,4 JULIO ROMERO DE TORRES,-3.762328878878229,40.245341597475424
metro_ligero,4 LA BALLENA,-3.7663570399088933,40.24598167967067
metro_ligero,4 PARLA CENTRO - BULEVAR NORTE,-3.769543240260111,40.24078920555628
metro_ligero,4 PARQUE PARLA ESTE,-3.7614779498705246,40.228157455232775
metro_ligero,4 PLAZA DE TOROS,-3.7575650796775717,40.24409356099637
metro_ligero,4 POLIGONO INDUSTRIAL CIUDAD DE PARLA,-3.75045094663104,40.238662259710914
metro_ligero,4 REYES CATOLICOS,-3.770001265292908,40.23140747977194
metro_ligero,4 TIERRA SUR,-3.7567490239509387,40.22253962857746
metro_ligero,4 VENUS SUR,-3.7552217300454163,40.226829031648485
metro,1 ALTO DEL ARENAL,-3.6452252835565764,40.389768700352434
metro,1 ALVARADO,-3.7033178070796913,40.45033105413335
metro,1 ANTON MARTIN,-3.6993757416732405,40.41246302818812
metro,1 ATOCHA,-3.692490883566612,40.408846792956474
metro,1 ATOCHA RENFE,-3.689379993715528,40.406586090726144
metro,1 BAMBU,-3.6763772762447107,40.47680705593772
metro,1 BILBAO,-3.702188295886296,40.42904963582931
metro,1 BUENOS AIRES,-3.6539143400014304,40.39155774604133
metro,1 CHAMARTIN,-3.682593278115451,40.4720227901636
metro,1 CONGOSTO,-3.618850584099445,40.37238110745017
metro,1 CUATRO CAMINOS,-3.7039784766540205,40.446966678007556
metro,1 ESTRECHO,-3.703028749396468,40.454278749227846
metro,1 GRAN VIA,-3.7018113638489942,40.420006857388664
metro,1 IGLESIA,-3.698983453377392,40.43491591143403
metro,1 LA GAVIA,-3.6134711039363103,40.37018451188382
metro,1 LAS SUERTES,-3.5995338882203147,40.36322145811309
metro,1 MENENDEZ PELAYO,-3.6809909455285403,40.404446601213934
metro,1 MIGUEL HERNANDEZ,-3.6395112253862365,40.38731392982777
metro,1 NUEVA NUMANCIA,-3.6641453517860403,40.395535508762855
metro,1 PACIFICO,-3.675137363680283,40.40125568071223
metro,1 PINAR DE CHAMARTIN,-3.6668070437216325,40.48013291749131
metro,1 PLAZA DE CASTILLA,-3.689182340661554,40.466893623466774
