host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within a day,37.38456,-5.995830000000001,Apartment,Entire home/apt,4,1.0,2,90.0,882.0,0.0,1,0.0,64.0,330.0,4,0,2018-02-07,2018-08-16,95.0,,,,,,,0,strict_14_with_grace_period,0.2,Casco Antiguo,ARENAL,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,6.242427975933797,270.0,135.0
within an hour,37.38514,-5.99214,Loft,Entire home/apt,3,1.5,1,63.0,81.0,22.5,1,0.0,3.0,90.0,130,7,2012-02-24,2019-09-13,87.0,9.0,9.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1.4,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,90.61377030329164,211.5,105.75
within an hour,37.38948,-5.992380000000001,Apartment,Entire home/apt,5,1.0,3,103.5,90.0,27.0,1,0.0,3.0,365.0,140,11,2012-01-12,2019-08-18,90.0,9.0,10.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,1.49,Casco Antiguo,ALFALFA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,91.1723033327173,337.5,112.5
within an hour,37.4011,-5.98396,Apartment,Entire home/apt,7,2.0,3,85.5,90.0,36.0,1,0.0,3.0,365.0,95,23,2011-08-24,2019-09-09,89.0,9.0,10.0,9.0,9.0,9.0,9.0,1,strict_14_with_grace_period,0.96,Macarena,"CRUZ ROJA, CAPUCHINOS",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96.52764943838683,292.5,73.12
within an hour,37.410959999999996,-5.98477,Apartment,Entire home/apt,8,1.0,3,54.0,0.0,0.0,2,9.0,2.0,365.0,54,6,2011-11-29,2019-05-20,83.0,9.0,9.0,9.0,9.0,8.0,8.0,1,strict_14_with_grace_period,0.57,Macarena,LAS AVENIDAS,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,89.66097866485964,216.0,54.0
within an hour,37.3889,-5.99823,Apartment,Entire home/apt,2,1.0,1,69.3,90.0,0.0,2,0.0,3.0,30.0,292,49,2014-09-19,2019-09-17,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,moderate,4.77,Casco Antiguo,ARENAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,59.927308568964456,207.9,207.9
within an hour,37.3885,-5.9934400000000005,Apartment,Private room,2,1.5,1,27.0,0.0,9.0,1,13.5,1.0,7.0,675,98,2011-10-01,2019-09-29,89.0,9.0,9.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,6.93,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,95.93626152487731,90.0,90.0
within an hour,37.3948,-6.0012099999999995,Apartment,Private room,1,1.0,1,36.0,0.0,0.0,1,0.0,1.0,30.0,70,23,2011-11-27,2019-09-15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.73,Casco Antiguo,SAN VICENTE,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.6035647549231,108.0,108.0
within an hour,37.39913,-5.990880000000001,Apartment,Entire home/apt,2,1.0,1,31.5,0.0,0.0,2,9.0,1.0,365.0,769,109,2011-11-25,2019-09-15,89.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,8.05,Casco Antiguo,FERIA,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,93.66927452309082,94.5,94.5
within a day,37.39002,-5.99061,Apartment,Entire home/apt,2,1.0,1,45.0,90.0,0.0,1,0.0,2.0,30.0,195,38,2011-11-29,2019-09-12,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,2.04,Casco Antiguo,ALFALFA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.4392903345038,135.0,135.0
