host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,40.411190000000005,-3.7047,Apartment,Entire home/apt,9,1.5,3.0,99.0,270.0,45.0,2,45.0,2.0,365.0,95,29,2011-02-13,2019-09-09,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,flexible,0.91,Centro,Embajadores,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,102.83578718248835,910.8,182.16
within an hour,40.411390000000004,-3.6940800000000005,Apartment,Entire home/apt,4,1.5,1.0,76.5,90.0,27.0,2,9.0,2.8,730.0,14,5,2014-09-23,2019-06-24,87.0,9.0,10.0,9.0,9.0,10.0,9.0,1,moderate,0.23,Centro,Cortes,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,57.00322388550073,310.05,155.03
within a few hours,40.41075,-3.70759,Apartment,Entire home/apt,4,1.0,1.0,72.0,0.0,0.0,3,22.5,8.0,1125.0,5,4,2017-07-15,2019-08-04,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,moderate,0.19,Centro,Embajadores,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,24.64116306289657,266.4,133.2
within an hour,40.40743,-3.69719,Apartment,Entire home/apt,3,1.0,1.0,56.7,135.0,0.0,1,0.0,3.0,365.0,53,12,2012-04-23,2019-07-27,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,moderate,0.59,Centro,Embajadores,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,87.0982977063184,209.79,104.89
within an hour,40.42791,-3.7099900000000003,Apartment,Entire home/apt,5,1.0,1.0,91.8,270.0,46.8,1,9.9,3.0,365.0,33,10,2011-10-02,2019-06-23,88.0,9.0,8.0,10.0,9.0,10.0,8.0,0,strict_14_with_grace_period,0.34,Centro,Universidad,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,92.68362800057496,459.72,153.24
-unk-,40.42315,-3.6827900000000002,Apartment,Entire home/apt,2,1.0,1.0,54.0,90.0,22.5,1,0.0,3.0,365.0,108,0,2011-05-08,2017-11-29,96.0,9.0,10.0,10.0,10.0,10.0,9.0,0,flexible,1.06,Salamanca,Recoletos,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.75315714901744,222.3,222.3
within a few hours,40.40865,-3.70534,Apartment,Entire home/apt,2,1.0,1.0,54.0,0.0,36.0,2,9.0,3.0,1125.0,178,6,2011-05-07,2019-06-16,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0,moderate,1.75,Centro,Embajadores,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,97.31616665639952,235.8,235.8
within an hour,40.40894,-3.69766,Apartment,Entire home/apt,7,1.0,3.0,90.0,270.0,45.0,2,45.0,2.0,364.2,140,29,2011-06-20,2019-07-13,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,1.39,Centro,Embajadores,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,96.75763362697386,711.0,177.75
within an hour,40.41218,-3.71369,Loft,Entire home/apt,6,1.0,2.0,99.0,180.0,80.1,4,18.0,2.3,30.0,195,20,2011-07-01,2019-09-15,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1.95,Centro,Palacio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,98.49894248341855,446.4,148.8
within an hour,40.42422,-3.69538,Apartment,Private room,2,1.0,1.0,45.0,0.0,0.0,1,9.0,2.0,365.0,86,5,2011-05-31,2019-06-09,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.85,Centro,Justicia,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,96.29766524979979,166.5,166.5
