host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,41.39036,2.15274,Apartment,Private room,2,2.0,1.0,36.0,0.0,4.5,1,4.5,2.0,730.0,270,73,2012-03-13,2019-09-10,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,moderate,2.95,Eixample,l'Antiga Esquerra de l'Eixample,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,89.92381773753054,155.7,155.7
within an hour,41.39065,2.15196,Apartment,Private room,1,2.0,1.0,27.0,0.0,4.5,1,0.0,2.0,730.0,223,52,2011-05-30,2019-09-11,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,2.21,Eixample,l'Antiga Esquerra de l'Eixample,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,99.41887923776669,117.9,117.9
within an hour,41.391529999999996,2.15125,Apartment,Private room,1,2.0,1.0,27.0,0.0,4.5,1,0.0,2.0,730.0,219,56,2012-05-14,2019-09-11,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,2.45,Eixample,l'Antiga Esquerra de l'Eixample,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,87.91966980841495,117.9,117.9
within an hour,41.39082,2.15078,Apartment,Private room,2,2.0,1.0,40.5,0.0,4.5,1,4.5,2.0,730.0,192,61,2014-09-15,2019-09-14,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1,moderate,3.15,Eixample,l'Antiga Esquerra de l'Eixample,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,59.96016345304832,174.6,174.6
within a few hours,41.379059999999996,2.19141,Apartment,Private room,1,1.0,1.0,34.2,0.0,13.5,1,0.0,2.0,65.0,68,19,2011-09-28,2019-08-27,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate,0.7,Ciutat Vella,la Barceloneta,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.95061500236145,157.14,157.14
within an hour,41.3956,2.16761,Loft,Entire home/apt,4,1.0,1.0,117.0,135.0,31.5,2,9.0,2.0,364.0,308,96,2011-06-16,2019-09-11,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,3.06,Eixample,la Dreta de l'Eixample,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,98.86034620834103,522.9,261.45
within an hour,41.38776,2.17782,Apartment,Entire home/apt,2,1.0,2.0,41.4,540.0,54.0,2,0.0,32.0,330.0,2,1,2011-01-04,2018-09-30,70.0,6.0,6.0,6.0,7.0,7.0,6.0,1,strict_14_with_grace_period,0.02,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,92.84790242099427,227.88,227.88
within an hour,41.37315,2.1664,Apartment,Private room,2,1.0,1.0,31.5,0.0,13.5,1,15.3,3.0,30.0,46,7,2013-08-20,2019-08-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.62,Sants-Montjuic,el Poble Sec,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,72.31359986858047,145.8,145.8
within an hour,41.40631,2.16945,Apartment,Entire home/apt,6,1.0,2.0,126.0,180.0,67.5,4,18.0,2.0,31.0,39,10,2011-08-12,2019-09-02,88.0,9.0,9.0,10.0,10.0,10.0,9.0,1,flexible,0.4,Gracia,el Camp d'en Grassot i Gracia Nova,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,96.69192385880613,596.7,198.9
within an hour,41.39821,2.1796599999999997,Apartment,Entire home/apt,9,1.5,3.0,162.0,180.0,67.5,6,13.5,2.0,30.0,55,10,2011-07-14,2019-08-06,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1,flexible,0.55,Eixample,el Fort Pienc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,96.75763362697386,747.9,149.58
