host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,39.468109999999996,-0.38964,Apartment,Entire home/apt,3,1.0,1.0,27.0,0.0,22.5,2,9.0,1.0,1125.0,76,15,2013-06-16,2019-09-14,89.0,10.0,9.0,10.0,10.0,9.0,9.0,0,moderate,0.99,EXTRAMURS,ARRANCAPINS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,74.94199059528943,122.4,61.2
within a few hours,39.46167,-0.34249,Apartment,Entire home/apt,6,1.0,2.0,63.0,180.0,45.0,2,15.3,3.0,730.0,4,1,2015-08-04,2019-07-11,90.0,10.0,10.0,10.0,9.0,9.0,9.0,1,strict_14_with_grace_period,0.08,CAMINS AL GRAU,LA CREU DEL GRAU,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,47.21246842850982,334.71,111.57
within an hour,39.475120000000004,-0.3911,Apartment,Entire home/apt,8,2.0,3.0,85.5,90.0,58.5,4,22.5,1.0,30.0,119,25,2011-09-02,2019-07-29,95.0,9.0,10.0,10.0,10.0,9.0,9.0,0,moderate,1.21,EXTRAMURS,LA PETXINA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,94.85205035010986,374.85,93.71
within a few hours,39.480340000000005,-0.37911999999999996,Apartment,Entire home/apt,5,2.0,2.0,81.0,135.0,0.0,4,9.0,3.0,365.0,66,21,2013-01-14,2019-09-07,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.81,CIUTAT VELLA,EL CARME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,79.73880367153329,299.7,99.9
within a few hours,39.47294,-0.32911999999999997,Apartment,Private room,2,1.0,1.0,18.9,90.0,0.0,1,18.0,1.0,365.0,161,50,2011-10-24,2019-09-22,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1.67,POBLATS MARITIMS,CABANYAL-CANYAMELAR,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,94.95061500236145,69.93,69.93
within an hour,39.4578,-0.36927,House,Private room,3,1.0,2.0,27.9,0.0,0.0,1,9.0,2.0,365.0,167,16,2011-10-22,2019-09-24,86.0,9.0,9.0,10.0,9.0,9.0,9.0,1,strict_14_with_grace_period,1.73,QUATRE CARRERES,EN CORTS,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,95.08203453869689,136.53,68.27
within a few hours,39.47152,-0.32993,Apartment,Private room,2,1.0,1.0,17.1,90.0,0.0,1,18.0,1.0,365.0,120,25,2011-12-07,2019-09-22,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1.26,POBLATS MARITIMS,CABANYAL-CANYAMELAR,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,93.50500010267152,63.27,63.27
within an hour,39.47225,-0.37787,Apartment,Entire home/apt,6,1.0,2.0,45.0,180.0,22.5,2,13.5,4.0,365.0,82,18,2012-08-11,2019-08-26,97.0,10.0,9.0,10.0,10.0,10.0,10.0,1,moderate,0.94,CIUTAT VELLA,EL MERCAT,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,84.46990697960943,238.95,79.65
within an hour,39.45767,-0.36924,Apartment,Entire home/apt,2,1.0,1.0,40.5,135.0,22.5,1,9.0,10.9,365.0,100,12,2012-05-12,2019-09-18,97.0,10.0,9.0,10.0,10.0,9.0,9.0,1,moderate,1.11,QUATRE CARRERES,EN CORTS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,88.21536376516971,172.35,172.35
-unk-,39.48082,-0.32889,Condominium,Entire home/apt,5,1.0,2.0,58.5,135.0,45.0,3,10.8,3.0,364.0,46,0,2012-01-06,2018-08-30,89.0,9.0,9.0,10.0,10.0,8.0,8.0,0,moderate,0.49,POBLATS MARITIMS,LA MALVA-ROSA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,79.77165855561717,261.45,87.15
within a few hours,39.462709999999994,-0.34265999999999996,Apartment,Entire home/apt,6,1.0,2.0,57.6,180.0,45.0,2,18.0,3.0,365.0,3,0,2014-09-21,2018-02-10,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0.05,CAMINS AL GRAU,LA CREU DEL GRAU,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.67434649582127,324.72,108.24
within a day,39.474990000000005,-0.3751,Condominium,Entire home/apt,4,1.0,1.0,72.0,270.0,27.0,2,6.3,6.0,1825.0,3,0,2012-06-10,2015-03-26,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0,strict_14_with_grace_period,0.03,CIUTAT VELLA,LA SEU,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,33.47912688145547,293.4,146.7
within an hour,39.476859999999995,-0.36422,Apartment,Private room,2,1.0,1.0,33.3,0.0,0.0,1,4.5,2.0,25.0,21,3,2013-04-29,2019-02-23,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.27,EL PLA DEL REAL,EXPOSICIO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,69.8494835622908,123.21,123.21
within an hour,39.47663,-0.36315,Apartment,Private room,2,1.0,1.0,40.5,0.0,0.0,1,4.5,1.0,21.0,255,57,2012-06-13,2019-09-29,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,2.87,EL PLA DEL REAL,EXPOSICIO,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,87.52541119940861,149.85,149.85
within a day,39.46255,-0.37454,Loft,Entire home/apt,2,1.0,1.0,76.5,180.0,36.0,2,9.0,2.0,180.0,67,13,2012-01-31,2019-05-26,95.0,10.0,10.0,9.0,9.0,10.0,10.0,0,strict_14_with_grace_period,0.72,L'EIXAMPLE,RUSSAFA,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,87.78825027207951,319.05,319.05
within an hour,39.46302,-0.37808,Apartment,Entire home/apt,5,1.0,1.0,67.5,90.0,0.0,2,13.5,2.0,60.0,15,0,2012-02-13,2014-08-30,91.0,9.0,9.0,9.0,9.0,8.0,8.0,0,strict_14_with_grace_period,0.16,L'EIXAMPLE,RUSSAFA,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30.52218731390788,299.7,99.9
within an hour,39.48441,-0.37405,Apartment,Entire home/apt,3,1.0,1.0,58.5,135.0,13.5,2,5.4,10.4,120.0,67,14,2014-05-05,2019-09-03,93.0,10.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1.02,LA SAIDIA,MORVEDRE,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,63.968459311279496,229.95,114.97
within an hour,39.47469,-0.38608000000000003,Loft,Entire home/apt,3,1.0,1.0,54.0,180.0,0.0,2,13.5,2.0,180.0,155,27,2013-01-20,2019-09-22,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1.9,EXTRAMURS,EL BOTANIC,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,80.03449762828805,199.8,99.9
within a day,39.46332,-0.37462,Apartment,Entire home/apt,4,1.0,2.0,39.6,180.0,0.0,1,0.0,3.0,365.0,34,7,2013-11-12,2019-09-25,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.47,L'EIXAMPLE,RUSSAFA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,70.40801659171646,146.52,73.26
within an hour,39.47498,-0.38301999999999997,Apartment,Entire home/apt,4,1.0,2.0,40.5,0.0,18.0,3,9.0,1.1,90.0,200,52,2012-11-04,2019-09-24,92.0,9.0,9.0,9.0,9.0,10.0,9.0,1,moderate,2.38,CIUTAT VELLA,EL PILAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,82.63003347091316,167.85,83.92
within an hour,39.47528,-0.3774,Apartment,Private room,3,1.0,1.0,38.7,0.0,0.0,2,17.1,2.0,45.0,377,34,2012-02-27,2019-09-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,4.08,CIUTAT VELLA,EL MERCAT,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,90.67948007145937,143.19,71.59
within an hour,39.478629999999995,-0.38140999999999997,Apartment,Entire home/apt,3,1.0,1.0,54.0,108.0,0.0,2,9.0,14.0,1460.0,13,3,2012-03-21,2019-09-06,86.0,9.0,8.0,9.0,10.0,9.0,8.0,1,strict_14_with_grace_period,0.14,CIUTAT VELLA,EL CARME,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89.5295591285242,199.8,99.9
within an hour,39.47911,-0.37716,Apartment,Entire home/apt,4,2.0,2.0,63.0,135.0,18.0,2,13.5,2.1,999.0,378,67,2012-03-20,2019-09-26,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible,4.12,CIUTAT VELLA,EL CARME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,90.2195116942853,251.1,125.55
within an hour,39.4787,-0.38099,Loft,Entire home/apt,4,1.0,2.0,112.5,225.0,36.0,3,13.5,3.0,365.0,138,17,2012-03-21,2019-09-07,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1.51,CIUTAT VELLA,EL CARME,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,89.56241401260806,452.25,226.12
within a few hours,39.48213,-0.32566,Apartment,Entire home/apt,2,1.0,1.0,36.0,225.0,45.0,1,0.0,7.0,31.0,16,10,2012-05-12,2019-09-26,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0.18,POBLATS MARITIMS,LA MALVA-ROSA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,88.47820283784061,178.2,178.2
within an hour,39.46056,-0.3421,Apartment,Entire home/apt,4,1.0,2.0,35.1,0.0,0.0,1,0.0,3.0,180.0,211,51,2012-03-21,2019-09-26,90.0,10.0,9.0,10.0,10.0,10.0,9.0,0,moderate,2.3,CAMINS AL GRAU,LA CREU DEL GRAU,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,90.18665681020144,129.87,64.94
within an hour,39.46241,-0.38445,Apartment,Entire home/apt,6,1.0,3.0,62.1,180.0,45.0,2,11.7,2.0,180.0,193,45,2012-04-12,2019-09-20,94.0,9.0,9.0,8.0,8.0,9.0,9.0,0,moderate,2.12,EXTRAMURS,ARRANCAPINS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,89.2667200558533,318.06,106.02
within a few hours,39.45496,-0.3588,Apartment,Private room,2,1.0,1.0,36.0,90.0,0.0,1,4.5,2.0,10.0,15,1,2013-09-09,2019-06-01,96.0,9.0,10.0,9.0,10.0,9.0,9.0,0,moderate,0.2,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,68.69956261935563,133.2,133.2
within a few hours,39.48522,-0.38525,Apartment,Entire home/apt,4,2.0,3.0,45.0,81.0,18.0,1,0.0,14.0,1125.0,14,0,2013-08-11,2017-10-20,96.0,9.0,9.0,10.0,10.0,9.0,10.0,0,strict_14_with_grace_period,0.19,LA SAIDIA,MARXALENES,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,50.300827532392866,184.5,92.25
within a day,39.4726,-0.37605,Condominium,Entire home/apt,4,1.0,2.0,67.5,90.0,63.0,4,18.0,3.0,60.0,42,2,2012-04-09,2018-12-05,92.0,9.0,8.0,10.0,10.0,10.0,9.0,0,moderate,0.46,CIUTAT VELLA,SANT FRANCESC,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,79.87022320786875,312.75,156.38
-unk-,39.463570000000004,-0.37417,Loft,Entire home/apt,3,1.0,1.0,40.5,180.0,27.0,2,9.0,3.0,330.0,6,0,2012-07-16,2015-08-16,85.0,10.0,7.0,8.0,8.0,10.0,9.0,0,strict_14_with_grace_period,0.07,L'EIXAMPLE,RUSSAFA,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36.99459947842872,176.85,88.42
within an hour,39.47245,-0.3784,Apartment,Entire home/apt,6,2.0,3.0,225.0,225.0,90.0,6,0.0,3.0,330.0,42,11,2012-09-01,2019-09-22,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.49,CIUTAT VELLA,EL MERCAT,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,84.66703628411261,922.5,307.5
within an hour,39.46694,-0.35813,Apartment,Entire home/apt,7,2.0,3.0,58.5,0.0,45.0,2,13.5,3.1,210.0,47,14,2015-06-07,2019-07-31,87.0,9.0,9.0,10.0,9.0,9.0,9.0,1,strict_14_with_grace_period,0.89,EL PLA DEL REAL,MESTALLA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.775149387051066,361.35,90.34
within a day,39.47292,-0.402,Apartment,Entire home/apt,4,1.0,2.0,72.0,180.0,27.0,3,18.0,2.0,1125.0,24,11,2012-11-12,2019-08-20,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,flexible,0.29,L'OLIVERETA,NOU MOLES,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,81.2172734553071,293.4,146.7
within an hour,39.475159999999995,-0.37711999999999996,Apartment,Entire home/apt,6,2.0,3.0,144.0,315.0,54.0,1,18.0,2.0,1125.0,7,3,2014-02-28,2019-08-30,89.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.1,CIUTAT VELLA,EL MERCAT,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,66.00546212447894,720.0,240.0
within an hour,39.47415,-0.37746,Apartment,Private room,1,1.0,1.0,31.5,0.0,0.0,1,0.0,2.4,30.0,210,50,2012-05-17,2019-09-25,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,2.34,CIUTAT VELLA,EL MERCAT,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,88.28107353333743,116.55,116.55
within an hour,39.47198,-0.37795,Apartment,Entire home/apt,2,1.0,1.0,91.8,225.0,45.0,1,0.0,3.0,330.0,28,3,2012-06-17,2019-08-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0.32,CIUTAT VELLA,EL MERCAT,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,86.34263537238958,384.66,384.66
within an hour,39.47302,-0.37897,Apartment,Entire home/apt,4,1.0,1.0,45.9,0.0,4.5,2,4.5,3.0,365.0,249,2,2012-06-10,2019-08-17,94.0,9.0,9.0,10.0,10.0,10.0,10.0,1,flexible,2.8,CIUTAT VELLA,EL MERCAT,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,86.21121583605412,174.33,87.17
