host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,36.72117,-4.42526,Apartment,Entire home/apt,2,1.0,0.0,53.1,0.0,31.5,2,9.0,2.0,1125.0,66,8,2012-05-19,2019-09-15,89.0,9.0,9.0,9.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.74,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,87.88681492433109,190.8,190.8
within an hour,36.72283,-4.42574,Apartment,Entire home/apt,4,1.0,2.0,43.2,0.0,13.5,2,10.8,2.5,365.0,614,87,2012-05-03,2019-09-24,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,6.8,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,88.70818702642765,143.1,71.55
within an hour,36.72292,-4.42331,Apartment,Entire home/apt,4,1.0,1.0,49.5,0.0,27.0,1,13.5,2.0,1125.0,18,2,2012-07-17,2019-01-28,84.0,9.0,9.0,10.0,10.0,9.0,8.0,1,strict_14_with_grace_period,0.21,nan,CENTRO,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,78.39175342409494,216.0,108.0
within an hour,36.72526,-4.41821,Loft,Entire home/apt,4,1.0,2.0,58.5,135.0,22.5,2,9.0,3.0,1125.0,153,26,2012-07-28,2019-07-28,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,moderate,1.75,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,83.97708371835151,198.0,99.0
within an hour,36.72433,-4.41834,Loft,Entire home/apt,2,1.0,1.0,54.0,135.0,18.0,2,9.0,3.0,1125.0,130,26,2012-06-18,2019-09-06,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1.47,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,86.60547444506048,180.0,180.0
within an hour,36.72572,-4.41798,Loft,Entire home/apt,2,1.0,1.0,45.0,135.0,18.0,2,0.0,3.0,1125.0,171,31,2012-07-09,2019-09-12,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,moderate,1.94,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,86.11265118380254,153.0,153.0
within an hour,36.72506,-4.42018,Loft,Entire home/apt,2,1.0,1.0,45.0,135.0,18.0,1,0.0,3.0,1125.0,167,20,2012-07-25,2019-09-08,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0,moderate,1.91,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,85.4555535021253,153.0,153.0
within a few hours,36.69488,-4.44054,Apartment,Entire home/apt,9,2.5,4.0,126.0,180.0,63.0,4,18.0,4.0,90.0,35,6,2012-09-28,2019-09-17,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.41,nan,CARRETERA DE CADIZ,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,83.61567999342903,495.0,99.0
within an hour,36.72146,-4.42335,Loft,Entire home/apt,6,1.0,3.0,117.0,90.0,0.0,6,0.0,1.8,1124.0,275,33,2013-05-12,2019-09-11,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,moderate,3.54,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,75.99334688597301,351.0,117.0
within an hour,36.728,-4.41409,Apartment,Private room,2,1.0,1.0,34.2,0.0,0.0,1,0.0,2.0,27.0,335,74,2012-08-10,2019-09-26,95.0,9.0,10.0,10.0,9.0,9.0,10.0,0,moderate,3.85,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,85.52126327029302,102.6,102.6
within a few hours,36.7298,-4.42092,Apartment,Entire home/apt,2,1.0,1.0,67.5,180.0,27.0,1,0.0,2.0,1125.0,145,25,2013-08-29,2019-09-24,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,moderate,1.96,nan,CENTRO,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,72.83927801392225,229.5,229.5
within an hour,36.71725,-4.3471400000000004,Condominium,Entire home/apt,5,2.0,3.0,63.0,135.0,22.5,3,9.0,3.0,1125.0,52,4,2013-03-28,2019-07-27,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0,moderate,0.66,nan,ESTE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,75.96049200188915,211.5,70.5
